continent.country.region,Freq,continent,country,region,iso2c,iso3c,latitude_country,longitude_country,latitude_region,longitude_region,locality_revgeo,administrative_area_level_1_revgeo,administrative_area_level_2_revgeo,country_revgeo,state_revgeo_natearth,country_revgeo_natearth,,
Europe / Austria / Frankenburg am Hausruck,1,Europe,Austria,Frankenburg am Hausruck,AT,AUT,47.58549847,14.12647809,48.0675753,13.4909289,Frankenburg,Upper Austria,Vöcklabruck District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Galtür,1,Europe,Austria,Galtür,AT,AUT,47.58549847,14.12647809,46.9692523,10.1890842,Galtür,Tyrol,Landeck District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Gams,2,Europe,Austria,Gams,AT,AUT,47.58549847,14.12647809,47.669605,14.7841049,NA,Styria,Liezen District,Austria,Styria,Austria,TRUE,
Europe / Austria / Gmunden,1,Europe,Austria,Gmunden,AT,AUT,47.58549847,14.12647809,47.91839,13.79933,Gmunden,Oberösterreich,Gmunden,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Grunddorf,1,Europe,Austria,Grunddorf,AT,AUT,47.58549847,14.12647809,48.41021,15.7204,NA,Lower Austria,Krems-Land District,Austria,Lower Austria,Austria,TRUE,
Europe / Austria / Heinfeld,1,Europe,Austria,Heinfeld,AT,AUT,47.58549847,14.12647809,46.7530651,12.4407755,NA,Tirol,Lienz,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Hochficht,1,Europe,Austria,Hochficht,AT,AUT,47.58549847,14.12647809,48.7333333,13.9166667,Klaffer am Hochficht,Upper Austria,Rohrbach District,Austria,South Bohemian,Czechia,FALSE,
Europe / Austria / Innsbruck,50,Europe,Austria,Innsbruck,AT,AUT,47.58549847,14.12647809,47.2692124,11.4041024,Innsbruck,Tirol,Innsbruck,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Ischgl,55,Europe,Austria,Ischgl,AT,AUT,47.58549847,14.12647809,47.0118452,10.2884195,Ischgl,Tyrol,Landeck District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Kappl,1,Europe,Austria,Kappl,AT,AUT,47.58549847,14.12647809,47.063371,10.3757623,NA,Tirol,Landeck,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Kematen In Tirol,1,Europe,Austria,Kematen In Tirol,AT,AUT,47.58549847,14.12647809,47.2549263,11.2737976,NA,Tyrol,Innsbruck-Land District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Klagenfurt,2,Europe,Austria,Klagenfurt,AT,AUT,47.58549847,14.12647809,46.6364598,14.3122246,Klagenfurt am Wörthersee,Kärnten,Klagenfurt am Wörthersee,Austria,Carinthia,Austria,TRUE,
Europe / Austria / Kufstein,6,Europe,Austria,Kufstein,AT,AUT,47.58549847,14.12647809,47.58237,12.16275,Kufstein,Tirol,Kufstein,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Laakirchen,1,Europe,Austria,Laakirchen,AT,AUT,47.58549847,14.12647809,47.9787283,13.8204532,Laakirchen,Upper Austria,Gmunden District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Laengenfeld,1,Europe,Austria,Laengenfeld,AT,AUT,47.58549847,14.12647809,47.07408,10.97106,NA,Tyrol,Imst District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Launsdorf,1,Europe,Austria,Launsdorf,AT,AUT,47.58549847,14.12647809,46.76758,14.45421,NA,Carinthia,Sankt Veit an der Glan District,Austria,Carinthia,Austria,TRUE,
Europe / Austria / Linz,10,Europe,Austria,Linz,AT,AUT,47.58549847,14.12647809,48.30694,14.28583,Linz,Oberösterreich,Linz,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Losenstein,1,Europe,Austria,Losenstein,AT,AUT,47.58549847,14.12647809,47.9253284,14.4346732,Losenstein,Upper Austria,Steyr-Land District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Lower Austria,365,Europe,Austria,Lower Austria,AT,AUT,47.58549847,14.12647809,48.108077,15.8049558,NA,Niederösterreich,Sankt Pölten-Land,Austria,Lower Austria,Austria,TRUE,
Europe / Austria / Matrei am Brenner,1,Europe,Austria,Matrei am Brenner,AT,AUT,47.58549847,14.12647809,47.1256622,11.452127,Matrei am Brenner,Tyrol,Innsbruck-Land District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Mayrhofen,18,Europe,Austria,Mayrhofen,AT,AUT,47.58549847,14.12647809,47.1691898,11.8651456,Mayrhofen,Tyrol,Schwaz District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / NA,1941,Europe,Austria,NA,AT,AUT,47.58549847,14.12647809,47.58549847,14.12647809,NA,Steiermark,Liezen,Austria,Styria,Austria,TRUE,
Europe / Austria / Nauders,1,Europe,Austria,Nauders,AT,AUT,47.58549847,14.12647809,46.8888227,10.5002019,NA,Tyrol,Landeck District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Neukirchen,1,Europe,Austria,Neukirchen,AT,AUT,47.58549847,14.12647809,47.249591,12.2769708,NA,Salzburg,Zell am See District,Austria,Salzburg,Austria,TRUE,
Europe / Austria / Nis,1,Europe,Austria,Nis,AT,AUT,47.58549847,14.12647809,47.58549847,14.12647809,NA,Steiermark,Liezen,Austria,Styria,Austria,TRUE,
Europe / Austria / Oed,8,Europe,Austria,Oed,AT,AUT,47.58549847,14.12647809,48.12122,14.73815,NA,Lower Austria,Amstetten District,Austria,Lower Austria,Austria,TRUE,
Europe / Austria / Ohlsdorf,1,Europe,Austria,Ohlsdorf,AT,AUT,47.58549847,14.12647809,47.9609662,13.7920153,Ohlsdorf,Upper Austria,Gmunden District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Patergassen,4,Europe,Austria,Patergassen,AT,AUT,47.58549847,14.12647809,46.8173177,13.8654739,Patergassen,Kärnten,Feldkirchen,Austria,Carinthia,Austria,TRUE,
Europe / Austria / Pettneu am Arlberg,1,Europe,Austria,Pettneu am Arlberg,AT,AUT,47.58549847,14.12647809,47.1481498,10.3411872,NA,Tirol,Landeck,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Pfunden,1,Europe,Austria,Pfunden,AT,AUT,47.58549847,14.12647809,46.9695649,10.5435916,Pfunds,Tyrol,Landeck District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Pögstall,5,Europe,Austria,Pögstall,AT,AUT,47.58549847,14.12647809,48.3172905,15.2039444,NA,Niederösterreich,Melk,Austria,Lower Austria,Austria,TRUE,
Europe / Austria / Ramsau im Zillertal,1,Europe,Austria,Ramsau im Zillertal,AT,AUT,47.58549847,14.12647809,47.2031644,11.87566,NA,Tyrol,Schwaz District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Regau,1,Europe,Austria,Regau,AT,AUT,47.58549847,14.12647809,47.9906821,13.6880675,NA,Oberösterreich,Vöcklabruck,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Rudolfsheim Funfhaus,1,Europe,Austria,Rudolfsheim Funfhaus,AT,AUT,47.58549847,14.12647809,48.191933,16.3324892,Wien,Wien,NA,Austria,Vienna,Austria,TRUE,
Europe / Austria / Salzburg,713,Europe,Austria,Salzburg,AT,AUT,47.58549847,14.12647809,47.80949,13.05501,Salzburg,Salzburg,Salzburg,Austria,Salzburg,Austria,TRUE,
Europe / Austria / Schoerfling am Attersee,1,Europe,Austria,Schoerfling am Attersee,AT,AUT,47.58549847,14.12647809,47.9456638,13.6048457,Schörfling am Attersee,Upper Austria,Vöcklabruck District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Schwanenstadt,2,Europe,Austria,Schwanenstadt,AT,AUT,47.58549847,14.12647809,48.0550553,13.7747523,Schwanenstadt,Upper Austria,Vöcklabruck District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / See,2,Europe,Austria,See,AT,AUT,47.58549847,14.12647809,47.08501,10.47122,NA,Tirol,Landeck,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Seefeld in Tirol,1,Europe,Austria,Seefeld in Tirol,AT,AUT,47.58549847,14.12647809,47.3300017,11.1877742,Seefeld,Tyrol,Innsbruck-Land District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Seekirchen,1,Europe,Austria,Seekirchen,AT,AUT,47.58549847,14.12647809,47.8947529,13.1237929,Seekirchen am Wallersee,Salzburg,Salzburg-Umgebung District,Austria,Salzburg,Austria,TRUE,
Europe / Austria / Seiersberg,1,Europe,Austria,Seiersberg,AT,AUT,47.58549847,14.12647809,47.010002,15.3990466,Seiersberg,Styria,Graz-Umgebung District,Austria,Styria,Austria,TRUE,
Europe / Austria / Sistrans,1,Europe,Austria,Sistrans,AT,AUT,47.58549847,14.12647809,47.2379164,11.4471378,Sistrans,Tirol,Innsbruck-Land,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Sölden,2,Europe,Austria,Sölden,AT,AUT,47.58549847,14.12647809,46.9654937,11.0076232,Soelden,Tyrol,Imst District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / St. Anton,3,Europe,Austria,St. Anton,AT,AUT,47.58549847,14.12647809,47.1296346,10.2681786,Saint Anton am Arlberg,Tyrol,Landeck District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / St. Wolfgang,6,Europe,Austria,St. Wolfgang,AT,AUT,47.58549847,14.12647809,47.7418278,13.4397113,Saint Wolfgang im Salzkammergut,Upper Austria,Gmunden District,Austria,Salzburg,Austria,TRUE,
Europe / Austria / St.Georgen im Attergau,1,Europe,Austria,St.Georgen im Attergau,AT,AUT,47.58549847,14.12647809,47.9352737,13.480546,NA,Upper Austria,Vöcklabruck District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / St.Valentin,1,Europe,Austria,St.Valentin,AT,AUT,47.58549847,14.12647809,48.1751847,14.5254825,Saint Valentin,Lower Austria,Amstetten District,Austria,Lower Austria,Austria,TRUE,
Europe / Austria / Stadt-Predlitz,6,Europe,Austria,Stadt-Predlitz,AT,AUT,47.58549847,14.12647809,47.069459,13.909754,NA,Steiermark,Murau,Austria,Styria,Austria,TRUE,
Europe / Austria / Steinach am Brenner,1,Europe,Austria,Steinach am Brenner,AT,AUT,47.58549847,14.12647809,47.0888716,11.4714428,NA,Tyrol,Innsbruck-Land District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Steinerkirchen,2,Europe,Austria,Steinerkirchen,AT,AUT,47.58549847,14.12647809,48.0786009,13.9572935,NA,Oberösterreich,Bezirk Wels-Land,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Strass im Zillertal,1,Europe,Austria,Strass im Zillertal,AT,AUT,47.58549847,14.12647809,47.3974896,11.8200591,NA,Tyrol,Schwaz District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Styria,798,Europe,Austria,Styria,AT,AUT,47.58549847,14.12647809,47.3593442,14.4699827,NA,Steiermark,Judenburg,Austria,Styria,Austria,TRUE,
Europe / Austria / Thaur,1,Europe,Austria,Thaur,AT,AUT,47.58549847,14.12647809,47.2927127,11.4755,Thaur,Tirol,Innsbruck-Land,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Timelkam,1,Europe,Austria,Timelkam,AT,AUT,47.58549847,14.12647809,48.0019658,13.6060786,Timelkam,Upper Austria,Vöcklabruck District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Tösens,1,Europe,Austria,Tösens,AT,AUT,47.58549847,14.12647809,47.018023,10.6085244,NA,Tirol,Landeck,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Tyrol,857,Europe,Austria,Tyrol,AT,AUT,47.58549847,14.12647809,47.2537414,11.601487,Wattens,Tyrol,Innsbruck-Land District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Upper Austria,1007,Europe,Austria,Upper Austria,AT,AUT,47.58549847,14.12647809,48.025854,13.9723665,Eberstalzell,Oberösterreich,Bezirk Wels-Land,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Vienna,5535,Europe,Austria,Vienna,AT,AUT,47.58549847,14.12647809,48.2081743,16.3738189,Wien,Wien,NA,Austria,Vienna,Austria,TRUE,
Europe / Austria / Vöcklabruck,1,Europe,Austria,Vöcklabruck,AT,AUT,47.58549847,14.12647809,48.00334,13.65613,Vöcklabruck,Upper Austria,Vöcklabruck District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Vöcklamarkt,2,Europe,Austria,Vöcklamarkt,AT,AUT,47.58549847,14.12647809,48.0015759,13.482658,Vöcklamarkt,Upper Austria,Vöcklabruck District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Voralberg,1,Europe,Austria,Voralberg,AT,AUT,47.58549847,14.12647809,47.2497427,9.9797373,NA,Vorarlberg,Bludenz,Austria,Vorarlberg,Austria,TRUE,
Europe / Austria / Vorarlberg,290,Europe,Austria,Vorarlberg,AT,AUT,47.58549847,14.12647809,47.2497427,9.9797373,NA,Vorarlberg,Bludenz,Austria,Vorarlberg,Austria,TRUE,
Europe / Austria / Waidhofen,2,Europe,Austria,Waidhofen,AT,AUT,47.58549847,14.12647809,47.96023,14.77283,Waidhofen an der Ybbs,Lower Austria,Waidhofen an der Ybbs,Austria,Lower Austria,Austria,TRUE,
Europe / Austria / Weyregg am Attersee,1,Europe,Austria,Weyregg am Attersee,AT,AUT,47.58549847,14.12647809,47.902887,13.5723965,Weyregg am Attersee,Upper Austria,Vöcklabruck District,Austria,Upper Austria,Austria,TRUE,
Europe / Austria / Zams,1,Europe,Austria,Zams,AT,AUT,47.58549847,14.12647809,47.1575863,10.5894458,Zams,Tyrol,Landeck District,Austria,Tyrol,Austria,TRUE,
Europe / Austria / Zell am Moos,1,Europe,Austria,Zell am Moos,AT,AUT,47.58549847,14.12647809,47.9036022,13.3207129,Zell am Moos,Upper Austria,Vöcklabruck District,Austria,Upper Austria,Austria,TRUE,
Europe / Azerbaijan / NA,151,Europe,Azerbaijan,NA,AZ,AZE,40.28827674,47.54599646,40.28827674,47.54599646,NA,NA,Zardab,Azerbaijan,Zardab,Azerbaijan,TRUE,
Europe / Belarus / Bobruisk,5,Europe,Belarus,Bobruisk,BY,BLR,53.53131155,28.03208711,53.1450386,29.2355135,Babruysk,Mogilev Region,Babruysk District,Belarus,Mahiliou,Belarus,TRUE,
Europe / Belarus / Borisov,4,Europe,Belarus,Borisov,BY,BLR,53.53131155,28.03208711,54.2243254,28.5119119,Barysaw,Minsk Region,Barysaw District,Belarus,Minsk,Belarus,TRUE,
Europe / Belarus / Brest,3,Europe,Belarus,Brest,BY,BLR,53.53131155,28.03208711,52.0996507,23.7636662,Brest,Brest Region,Brest District,Belarus,Brest,Belarus,TRUE,
Europe / Belarus / Brest region,2,Europe,Belarus,Brest region,BY,BLR,53.53131155,28.03208711,52.5296641,25.460648,NA,Brest Region,Ivatsevichy District,Belarus,Brest,Belarus,TRUE,
Europe / Belarus / Gomel,4,Europe,Belarus,Gomel,BY,BLR,53.53131155,28.03208711,52.4313388,30.99367,Gomel,Gomel Region,Gomel District,Belarus,Gomel,Belarus,TRUE,
Europe / Belarus / Gomel region,1,Europe,Belarus,Gomel region,BY,BLR,53.53131155,28.03208711,52.1648754,29.1333251,NA,Gomel Region,Kalinkavichy District,Belarus,Gomel,Belarus,TRUE,
Europe / Belarus / Gomel Region,11,Europe,Belarus,Gomel Region,BY,BLR,53.53131155,28.03208711,52.1648754,29.1333251,NA,Gomel Region,Kalinkavichy District,Belarus,Gomel,Belarus,TRUE,
Europe / Belarus / Grodno region,14,Europe,Belarus,Grodno region,BY,BLR,53.53131155,28.03208711,53.6599945,25.3448571,NA,Hrodna Region,Lida District,Belarus,Grodno,Belarus,TRUE,
Europe / Belarus / Homel region,1,Europe,Belarus,Homel region,BY,BLR,53.53131155,28.03208711,52.1648754,29.1333251,NA,Gomel Region,Kalinkavichy District,Belarus,Gomel,Belarus,TRUE,
Europe / Belarus / Minsk,48,Europe,Belarus,Minsk,BY,BLR,53.53131155,28.03208711,53.9006011,27.558972,Minsk,Minsk Region,Minsk Region,Belarus,Minsk,Belarus,TRUE,
Europe / Belarus / Minsk region,3,Europe,Belarus,Minsk region,BY,BLR,53.53131155,28.03208711,54.1067889,27.4129245,NA,Minsk Region,Minsk Region,Belarus,Minsk,Belarus,TRUE,
Europe / Belarus / Minsk Region,4,Europe,Belarus,Minsk Region,BY,BLR,53.53131155,28.03208711,54.1067889,27.4129245,NA,Minsk Region,Minsk Region,Belarus,Minsk,Belarus,TRUE,
Europe / Belarus / Mogilev,3,Europe,Belarus,Mogilev,BY,BLR,53.53131155,28.03208711,53.8980663,30.3325337,Mogilev,Mogilev Region,Mahilyow District,Belarus,Mahiliou,Belarus,TRUE,
Europe / Belarus / Mogilev region,1,Europe,Belarus,Mogilev region,BY,BLR,53.53131155,28.03208711,53.5101791,30.4006444,NA,Mogilev Region,Bykhaw District,Belarus,Mahiliou,Belarus,TRUE,
Europe / Belarus / Mogilev Region,2,Europe,Belarus,Mogilev Region,BY,BLR,53.53131155,28.03208711,53.5101791,30.4006444,NA,Mogilev Region,Bykhaw District,Belarus,Mahiliou,Belarus,TRUE,
Europe / Belarus / NA,30,Europe,Belarus,NA,BY,BLR,53.53131155,28.03208711,53.53131155,28.03208711,NA,Minsk Region,Pukhavichy District,Belarus,Minsk,Belarus,TRUE,
Europe / Belarus / Orsha,1,Europe,Belarus,Orsha,BY,BLR,53.53131155,28.03208711,54.51256,30.4251007,Orsha,Vitebsk Region,Orsha District,Belarus,Vitebsk,Belarus,TRUE,
Europe / Belarus / Rrcem,1,Europe,Belarus,Rrcem,BY,BLR,53.53131155,28.03208711,53.53131155,28.03208711,NA,Minsk Region,Pukhavichy District,Belarus,Minsk,Belarus,TRUE,
Europe / Belarus / Vitebsk,1,Europe,Belarus,Vitebsk,BY,BLR,53.53131155,28.03208711,55.1926809,30.206359,Viciebsk,Vitebsk Region,Vitsebsk District,Belarus,Vitebsk,Belarus,TRUE,
Europe / Belarus / Vitebsk region,1,Europe,Belarus,Vitebsk region,BY,BLR,53.53131155,28.03208711,55.2959833,28.7583627,NA,Vitebsk Region,Polatsk District,Belarus,Vitebsk,Belarus,TRUE,
Europe / Belarus / Vitebsk Region,1,Europe,Belarus,Vitebsk Region,BY,BLR,53.53131155,28.03208711,55.2959833,28.7583627,NA,Vitebsk Region,Polatsk District,Belarus,Vitebsk,Belarus,TRUE,
Europe / Belgium / 'S Gravenwezel,20,Europe,Belgium,'S Gravenwezel,BE,BEL,50.63981435,4.64064572,51.26292,4.56096,Schilde,Flanders,Antwerp,Belgium,Antwerp,Belgium,TRUE,
Europe / Belgium / 1367,1,Europe,Belgium,1367,BE,BEL,50.63981435,4.64064572,50.6496669,4.8897781,Ramillies,Wallonia,Walloon Brabant,Belgium,Walloon Brabant,Belgium,TRUE,
Europe / Belgium / Aalbeke,8,Europe,Belgium,Aalbeke,BE,BEL,50.63981435,4.64064572,50.7784023,3.2299377,Kortrijk,Flanders,West Flanders,Belgium,West Flanders,Belgium,TRUE,
Europe / Belgium / Aalst,119,Europe,Belgium,Aalst,BE,BEL,50.63981435,4.64064572,50.9407315,4.0424216,Aalst,Flanders,East Flanders,Belgium,East Flanders,Belgium,TRUE,
Europe / Belgium / Aalter,32,Europe,Belgium,Aalter,BE,BEL,50.63981435,4.64064572,51.0873768,3.4483498,Aalter,Flanders,East Flanders,Belgium,East Flanders,Belgium,TRUE,
Europe / Belgium / Aarschot,225,Europe,Belgium,Aarschot,BE,BEL,50.63981435,4.64064572,50.9877846,4.836879,Aarschot,Flanders,Flemish Brabant,Belgium,Flemish Brabant,Belgium,TRUE,
Europe / Belgium / Aarsele,1,Europe,Belgium,Aarsele,BE,BEL,50.63981435,4.64064572,50.9969343,3.4224989,Tielt,Flanders,West Flanders,Belgium,West Flanders,Belgium,TRUE,
Europe / Belgium / Aartrijke,58,Europe,Belgium,Aartrijke,BE,BEL,50.63981435,4.64064572,51.1191667,3.0900761,Zedelgem,Flanders,West Flanders,Belgium,West Flanders,Belgium,TRUE,
Europe / Belgium / Aartselaar,115,Europe,Belgium,Aartselaar,BE,BEL,50.63981435,4.64064572,51.1344849,4.3874914,Aartselaar,Vlaams Gewest,Antwerpen,Belgium,Antwerp,Belgium,TRUE,
Europe / Belgium / Achel,2,Europe,Belgium,Achel,BE,BEL,50.63981435,4.64064572,51.2510219,5.5424827,Hamont-Achel,Flanders,Limburg,Belgium,North Brabant,Netherlands,FALSE,
Europe / Belgium / Achene,1,Europe,Belgium,Achene,BE,BEL,50.63981435,4.64064572,50.2666792,5.0456342,Ciney,Wallonia,Province of Namur,Belgium,Namur,Belgium,TRUE,
Europe / Belgium / Acosse,1,Europe,Belgium,Acosse,BE,BEL,50.63981435,4.64064572,50.59277,5.04657,Wasseiges,Wallonia,Liege,Belgium,Liège,Belgium,TRUE,
Europe / Belgium / Adegem,1,Europe,Belgium,Adegem,BE,BEL,50.63981435,4.64064572,51.2046849,3.4868397,Maldegem,Flanders,East Flanders,Belgium,East Flanders,Belgium,TRUE,
Europe / Belgium / Affligem,22,Europe,Belgium,Affligem,BE,BEL,50.63981435,4.64064572,50.9125413,4.1117173,Affligem,Flanders,Flemish Brabant,Belgium,Flemish Brabant,Belgium,TRUE,
Europe / Belgium / Afgeschr.,1,Europe,Belgium,Afgeschr.,BE,BEL,50.63981435,4.64064572,50.63981435,4.64064572,Mont-Saint-Guibert,Wallonia,Walloon Brabant,Belgium,Walloon Brabant,Belgium,TRUE,
Europe / Belgium / Afsnee,1,Europe,Belgium,Afsnee,BE,BEL,50.63981435,4.64064572,51.0305603,3.6661568,Ghent,Flanders,East Flanders,Belgium,East Flanders,Belgium,TRUE,
Europe / Belgium / Aiseau,3,Europe,Belgium,Aiseau,BE,BEL,50.63981435,4.64064572,50.41114,4.58644,Aiseau-Presles,Wallonia,Hainaut,Belgium,Hainaut,Belgium,TRUE,
Europe / Belgium / Aiseau-presles,3,Europe,Belgium,Aiseau-presles,BE,BEL,50.63981435,4.64064572,50.4175959,4.5741175,Aiseau-Presles,Wallonia,Hainaut,Belgium,Hainaut,Belgium,TRUE,
Europe / Belgium / Aisemont,1,Europe,Belgium,Aisemont,BE,BEL,50.63981435,4.64064572,50.40504,4.65209,Fosses-la-Ville,Wallonia,Province of Namur,Belgium,Namur,Belgium,TRUE,
Europe / Belgium / Alicante,1,Europe,Belgium,Alicante,BE,BEL,50.63981435,4.64064572,50.63981435,4.64064572,Mont-Saint-Guibert,Wallonia,Walloon Brabant,Belgium,Walloon Brabant,Belgium,TRUE,
Europe / Belgium / Alken,94,Europe,Belgium,Alken,BE,BEL,50.63981435,4.64064572,50.8891784,5.306758,Alken,Flanders,Limburg,Belgium,Limburg,Belgium,TRUE,
Europe / Belgium / Alle,2,Europe,Belgium,Alle,BE,BEL,50.63981435,4.64064572,49.8420224,4.9696522,Vresse-sur-Semois,Wallonia,Province of Namur,Belgium,Namur,Belgium,TRUE,
Europe / Belgium / Alleur,2,Europe,Belgium,Alleur,BE,BEL,50.63981435,4.64064572,50.67434,5.51338,Ans,Wallonia,Liege,Belgium,Liège,Belgium,TRUE,
Europe / Belgium / Alsemberg,39,Europe,Belgium,Alsemberg,BE,BEL,50.63981435,4.64064572,50.74163,4.33613,Beersel,Flanders,Flemish Brabant,Belgium,Flemish Brabant,Belgium,TRUE,
Europe / Belgium / Alveringem,8,Europe,Belgium,Alveringem,BE,BEL,50.63981435,4.64064572,51.0123385,2.7096707,Alveringem,Flanders,West Flanders,Belgium,West Flanders,Belgium,TRUE,
Europe / Belgium / Amay,8,Europe,Belgium,Amay,BE,BEL,50.63981435,4.64064572,50.547289,5.3168469,Amay,Wallonia,Liege,Belgium,Liège,Belgium,TRUE,
Europe / Belgium / Ambly,1,Europe,Belgium,Ambly,BE,BEL,50.63981435,4.64064572,50.1443527,5.3117953,Nassogne,Wallonia,Luxembourg,Belgium,Luxembourg,Belgium,TRUE,
Europe / Belgium / Andenne,12,Europe,Belgium,Andenne,BE,BEL,50.63981435,4.64064572,50.4911155,5.0964753,Andenne,Wallonia,Province of Namur,Belgium,Namur,Belgium,TRUE,
Europe / Belgium / Anderlecht,356,Europe,Belgium,Anderlecht,BE,BEL,50.63981435,4.64064572,50.8349271,4.3069041,Anderlecht,Brussels,NA,Belgium,Brussels Capital,Belgium,TRUE,
Europe / Belgium / Anderlecht (brux.),3,Europe,Belgium,Anderlecht (brux.),BE,BEL,50.63981435,4.64064572,50.8349271,4.3069041,Anderlecht,Brussels,NA,Belgium,Brussels Capital,Belgium,TRUE,
Europe / Belgium / Anderlues,7,Europe,Belgium,Anderlues,BE,BEL,50.63981435,4.64064572,50.4058698,4.2726016,Anderlues,Wallonia,Hainaut,Belgium,Hainaut,Belgium,TRUE,
Europe / Belgium / Angleur,5,Europe,Belgium,Angleur,BE,BEL,50.63981435,4.64064572,50.61135,5.59943,Liège,Wallonia,Liege,Belgium,Liège,Belgium,TRUE,
Europe / Belgium / Ans,5,Europe,Belgium,Ans,BE,BEL,50.63981435,4.64064572,50.6561076,5.5303911,Ans,Wallonia,Liege,Belgium,Liège,Belgium,TRUE,
Europe / Belgium / Antheit,2,Europe,Belgium,Antheit,BE,BEL,50.63981435,4.64064572,50.5489545,5.2403601,Wanze,Wallonia,Liege,Belgium,Liège,Belgium,TRUE,
Europe / Belgium / Anthisnes,2,Europe,Belgium,Anthisnes,BE,BEL,50.63981435,4.64064572,50.4838808,5.5207986,Anthisnes,Wallonia,Liege,Belgium,Liège,Belgium,TRUE,
Europe / Belgium / Antoing,3,Europe,Belgium,Antoing,BE,BEL,50.63981435,4.64064572,50.5672729,3.4513915,Antoing,Wallonia,Hainaut,Belgium,Hainaut,Belgium,TRUE,
Europe / Belgium / Antwerp,2148,Europe,Belgium,Antwerp,BE,BEL,50.63981435,4.64064572,51.2213404,4.4051485,Antwerpen,Vlaams Gewest,Antwerpen,Belgium,Antwerp,Belgium,TRUE,
Europe / Belgium / Antwerpen,1157,Europe,Belgium,Antwerpen,BE,BEL,50.63981435,4.64064572,51.2213404,4.4051485,Antwerpen,Vlaams Gewest,Antwerpen,Belgium,Antwerp,Belgium,TRUE,
Europe / Belgium / Anvaing,2,Europe,Belgium,Anvaing,BE,BEL,50.63981435,4.64064572,50.6827667,3.5610313,Frasnes-lez-Anvaing,Wallonia,Hainaut,Belgium,Hainaut,Belgium,TRUE,
Europe / Belgium / Anvers,20,Europe,Belgium,Anvers,BE,BEL,50.63981435,4.64064572,51.2213404,4.4051485,Antwerpen,Vlaams Gewest,Antwerpen,Belgium,Antwerp,Belgium,TRUE,
Europe / Belgium / Anwerpen,308,Europe,Belgium,Anwerpen,BE,BEL,50.63981435,4.64064572,51.2213404,4.4051485,Antwerpen,Vlaams Gewest,Antwerpen,Belgium,Antwerp,Belgium,TRUE,
Europe / Belgium / Anzegem,40,Europe,Belgium,Anzegem,BE,BEL,50.63981435,4.64064572,50.8378246,3.4030451,Anzegem,Flanders,West Flanders,Belgium,West Flanders,Belgium,TRUE,
Europe / Belgium / Appels,1,Europe,Belgium,Appels,BE,BEL,50.63981435,4.64064572,51.0293011,4.0541409,Dendermonde,Flanders,East Flanders,Belgium,East Flanders,Belgium,TRUE,
Europe / Belgium / Appelterre-Eichem,2,Europe,Belgium,Appelterre-Eichem,BE,BEL,50.63981435,4.64064572,50.8187951,3.9669736,Ninove,Flanders,East Flanders,Belgium,East Flanders,Belgium,TRUE,
Europe / Belgium / Arbre,2,Europe,Belgium,Arbre,BE,BEL,50.63981435,4.64064572,50.36612,4.82126,Profondeville,Wallonia,Province of Namur,Belgium,Namur,Belgium,TRUE,
Europe / Belgium / Archennes,1,Europe,Belgium,Archennes,BE,BEL,50.63981435,4.64064572,50.7524768,4.669868,Grez-Doiceau,Wallonia,Walloon Brabant,Belgium,Walloon Brabant,Belgium,TRUE,
